,row_close,levelCounter,trial_set,row_start,time_secs,ptcp,feedbackType,correctCounter,Change Flag
1063,248010,26.0,3,247579.0,3.2406015037593985,tsvr18,congruent,26.0,248010
1064,250072,27.0,3,249644.0,3.218045112781955,tsvr18,congruent,27.0,250072
1065,252645,28.0,3,252220.0,3.1954887218045114,tsvr18,congruent,28.0,252645
1066,254727,29.0,3,254296.0,3.2406015037593985,tsvr18,none,29.0,254727
1067,256949,30.0,3,256521.0,3.218045112781955,tsvr18,incongruent,30.0,256949
1068,259138,31.0,3,258650.0,3.669172932330827,tsvr18,incongruent,31.0,259138
1069,261213,32.0,3,260789.0,3.18796992481203,tsvr18,none,32.0,261213
1070,263450,33.0,3,263024.0,3.2030075187969924,tsvr18,congruent,33.0,263450
1071,265630,34.0,3,265197.0,3.255639097744361,tsvr18,incongruent,34.0,265630
1072,6853,0.0,1,2197.0,35.00751879699248,tsvr17,incongruent,,
1073,10110,1.0,1,9605.0,3.7969924812030076,tsvr17,incongruent,0.0,10110
1074,12447,2.0,1,12020.0,3.210526315789474,tsvr17,congruent,1.0,12447
1075,15020,3.0,1,14586.0,3.263157894736842,tsvr17,congruent,2.0,15020
1076,17285,4.0,1,16852.0,3.255639097744361,tsvr17,congruent,3.0,17285
1077,20012,5.0,1,19484.0,3.969924812030075,tsvr17,none,4.0,20012
1078,22666,6.0,1,21806.0,6.466165413533835,tsvr17,none,5.0,22666
1079,58071,7.0,1,24376.0,253.34586466165413,tsvr17,congruent,6.0,58071
1080,60212,8.0,1,59774.0,3.293233082706767,tsvr17,incongruent,7.0,60212
1081,62787,9.0,1,62339.0,3.3684210526315788,tsvr17,congruent,,
1082,65920,10.0,1,64605.0,9.887218045112782,tsvr17,none,8.0,65920
1083,69656,11.0,1,69216.0,3.308270676691729,tsvr17,incongruent,,
1084,72366,12.0,1,71930.0,3.2781954887218046,tsvr17,congruent,9.0,72366
1085,76092,13.0,1,75521.0,4.293233082706767,tsvr17,incongruent,10.0,76092
1086,78309,14.0,1,77802.0,3.81203007518797,tsvr17,incongruent,11.0,78309
1087,81857,15.0,1,81139.0,5.398496240601504,tsvr17,incongruent,,
1088,84701,16.0,1,83920.0,5.87218045112782,tsvr17,none,12.0,84701
1089,87541,17.0,1,86693.0,6.37593984962406,tsvr17,incongruent,13.0,87541
1090,91868,18.0,1,91061.0,6.067669172932331,tsvr17,incongruent,14.0,91868
1091,95007,19.0,1,94579.0,3.218045112781955,tsvr17,none,15.0,95007
1092,97668,20.0,1,97213.0,3.4210526315789473,tsvr17,incongruent,16.0,97668
1093,108361,21.0,1,100673.0,57.80451127819549,tsvr17,none,,
1094,113511,22.0,1,112783.0,5.473684210526316,tsvr17,incongruent,17.0,113511
1095,116501,23.0,1,115844.0,4.93984962406015,tsvr17,congruent,18.0,116501
1096,119539,24.0,1,118805.0,5.518796992481203,tsvr17,congruent,19.0,119539
1097,121893,25.0,1,121360.0,4.007518796992481,tsvr17,none,20.0,121893
1098,124607,26.0,1,124018.0,4.428571428571429,tsvr17,congruent,21.0,124607
1099,127057,27.0,1,126339.0,5.398496240601504,tsvr17,none,,
1100,129601,28.0,1,128844.0,5.69172932330827,tsvr17,congruent,22.0,129601
1101,132067,29.0,1,131488.0,4.353383458646617,tsvr17,congruent,23.0,132067
1102,135111,30.0,1,134576.0,4.022556390977444,tsvr17,none,24.0,135111
1103,138249,31.0,1,137500.0,5.631578947368421,tsvr17,none,,
1104,140668,32.0,1,140201.0,3.511278195488722,tsvr17,congruent,25.0,140668
1105,144404,33.0,1,143836.0,4.2706766917293235,tsvr17,none,26.0,144404
1106,147895,34.0,1,147235.0,4.962406015037594,tsvr17,incongruent,27.0,147895
1107,150351,35.0,1,,,tsvr17,none,28.0,150351
1108,155038,0.0,2,154615.0,3.180451127819549,tsvr17,incongruent,,
1109,157336,1.0,2,156811.0,3.9473684210526314,tsvr17,none,0.0,157336
1110,159642,2.0,2,159102.0,4.06015037593985,tsvr17,none,1.0,159642
1111,163018,3.0,2,162392.0,4.706766917293233,tsvr17,none,,
1112,165690,4.0,2,165176.0,3.8646616541353382,tsvr17,congruent,2.0,165690
1113,167879,5.0,2,167318.0,4.2180451127819545,tsvr17,none,3.0,167879
1114,175595,6.0,2,170380.0,39.21052631578947,tsvr17,congruent,,
1115,179858,7.0,2,179339.0,3.9022556390977443,tsvr17,congruent,,
1116,182500,8.0,2,181636.0,6.496240601503759,tsvr17,incongruent,4.0,182500
1117,185261,9.0,2,184735.0,3.954887218045113,tsvr17,incongruent,5.0,185261
1118,188155,10.0,2,187672.0,3.6315789473684212,tsvr17,none,6.0,188155
1119,191027,11.0,2,190589.0,3.293233082706767,tsvr17,none,7.0,191027
1120,194719,12.0,2,193964.0,5.676691729323308,tsvr17,incongruent,8.0,194719
1121,199144,13.0,2,198537.0,4.56390977443609,tsvr17,congruent,9.0,199144
1122,201633,14.0,2,201200.0,3.255639097744361,tsvr17,none,10.0,201633
1123,205201,15.0,2,204157.0,7.849624060150376,tsvr17,congruent,,
1124,207472,16.0,2,207004.0,3.518796992481203,tsvr17,incongruent,11.0,207472
1125,209638,17.0,2,209208.0,3.2330827067669174,tsvr17,congruent,12.0,209638
1126,212607,18.0,2,212009.0,4.496240601503759,tsvr17,incongruent,,
1127,216178,19.0,2,215733.0,3.345864661654135,tsvr17,congruent,13.0,216178
1128,218728,20.0,2,217858.0,6.541353383458647,tsvr17,incongruent,,
1129,221687,21.0,2,220990.0,5.2406015037593985,tsvr17,congruent,14.0,221687
1130,224172,22.0,2,223634.0,4.045112781954887,tsvr17,none,15.0,224172
1131,228258,23.0,2,227819.0,3.300751879699248,tsvr17,incongruent,16.0,228258
1132,230675,24.0,2,230154.0,3.917293233082707,tsvr17,incongruent,17.0,230675
1133,234053,25.0,2,233466.0,4.413533834586466,tsvr17,none,18.0,234053
1134,239328,26.0,2,238771.0,4.18796992481203,tsvr17,congruent,19.0,239328
1135,242268,27.0,2,241679.0,4.428571428571429,tsvr17,none,20.0,242268
1136,245820,28.0,2,245101.0,5.406015037593985,tsvr17,none,21.0,245820
