,row_close,levelCounter,trial_set,row_start,time_secs,ptcp,feedbackType,correctCounter,Change Flag
67,179396,30.0,2,178937.0,3.4511278195488724,tsvr09,incongruent,26.0,179396
68,182887,31.0,2,182399.0,3.669172932330827,tsvr09,none,27.0,182887
69,185183,32.0,2,184681.0,3.774436090225564,tsvr09,congruent,28.0,185183
70,187436,33.0,2,186926.0,3.8345864661654137,tsvr09,none,29.0,187436
71,189616,34.0,2,189124.0,3.699248120300752,tsvr09,none,30.0,189616
72,191788,35.0,2,99.0,1441.2706766917292,tsvr09,incongruent,31.0,191788
73,194300,0.0,3,193797.0,3.781954887218045,tsvr09,none,0.0,194300
74,197009,1.0,3,196458.0,4.142857142857143,tsvr09,incongruent,1.0,197009
75,199628,2.0,3,199051.0,4.338345864661654,tsvr09,congruent,2.0,199628
76,202165,3.0,3,201726.0,3.300751879699248,tsvr09,congruent,3.0,202165
77,204978,4.0,3,204497.0,3.6165413533834587,tsvr09,congruent,4.0,204978
78,207996,5.0,3,207480.0,3.8796992481203008,tsvr09,incongruent,5.0,207996
79,210469,6.0,3,209923.0,4.105263157894737,tsvr09,none,6.0,210469
80,212632,7.0,3,212168.0,3.488721804511278,tsvr09,none,7.0,212632
81,215729,8.0,3,214387.0,10.090225563909774,tsvr09,congruent,8.0,215729
82,218386,9.0,3,217864.0,3.924812030075188,tsvr09,incongruent,9.0,218386
83,220938,10.0,3,220428.0,3.8345864661654137,tsvr09,incongruent,10.0,220938
84,223463,11.0,3,222987.0,3.5789473684210527,tsvr09,congruent,11.0,223463
85,225629,12.0,3,225196.0,3.255639097744361,tsvr09,none,12.0,225629
86,228236,13.0,3,227763.0,3.556390977443609,tsvr09,incongruent,13.0,228236
87,230457,14.0,3,229979.0,3.593984962406015,tsvr09,congruent,14.0,230457
88,233328,15.0,3,232282.0,7.864661654135339,tsvr09,incongruent,15.0,233328
89,236521,16.0,3,236092.0,3.225563909774436,tsvr09,congruent,16.0,236521
90,238912,17.0,3,238426.0,3.654135338345865,tsvr09,congruent,17.0,238912
91,241315,18.0,3,240726.0,4.428571428571429,tsvr09,none,18.0,241315
92,243639,19.0,3,243211.0,3.218045112781955,tsvr09,none,19.0,243639
93,248407,20.0,3,245426.0,22.413533834586467,tsvr09,congruent,,
